id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
46103,Du La Anquan Jiaoyu,,finished_airing,tv,164,,original,,,,pg,,,['Kids'],
46359,Huan Yue Zuofang,,finished_airing,tv,26,,original,,,,pg,,,['Kids'],
46615,Hao Haizi Xiao Ketang,,finished_airing,tv,98,,original,,,,pg,,,['Kids'],
46871,Cha A Er Zhong Gaga Yi Ga Si,,finished_airing,ona,20,,original,,,,g,,,['Slice of Life'],
47127,Qiaopi Da Zui Mao Zhi Chong Fan Chengshi,,finished_airing,tv,50,,original,,,,pg,,,['Kids'],
47383,Bai Bian Bu Lu Ke 3,,finished_airing,tv,20,,original,,,,pg,,,['Kids'],
47895,Pi Pi Zhu Zhi Conglin Riji,,finished_airing,tv,20,,original,,,,pg,,,['Adventure'],
48151,Nae Salang Ttung,,finished_airing,tv,104,,original,,,,pg,,,['Kids'],
48919,HKT48 × Peeping Life,33,finished_airing,special,1,,original,123,18354,,pg_13,2014,spring,['Comedy'],['CoMix Wave Films']
50711,Ai to Yuuto: Hajimete no Otsukai,26,finished_airing,movie,1,,original,56,19170,,g,,,['Slice of Life'],
51479,Gunjou,103,finished_airing,music,1,,original,168,17578,,g,2020,fall,['Music'],
51991,Amanchu!: Upyopyo Dive Tsukkome! Amazon no Sekai!,,finished_airing,special,1,,manga,,,,,,,['Comedy'],
3864,Souten no Ken Specials,988,finished_airing,special,4,6.28,,2487,9303,,r,2007,spring,"['Action', 'Historical', 'Martial Arts', 'Shounen']",['APPP']
5656,PuriGorota: Uchuu no Yuujou Daibouken,1600,finished_airing,ova,1,5.01,original,3125,8696,,pg,2008,fall,"['Adventure', 'Kids', 'Sci-Fi']",['J.C.Staff']
7448,Pacusi,159,finished_airing,tv,18,5.44,,505,13623,,g,1994,spring,['Comedy'],
9496,Itoshi no Betty Mamonogatari,98,finished_airing,movie,1,,manga,516,13558,,r+,1986,summer,"['Fantasy', 'Romance', 'Seinen']",
